,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng,fee,earning_pct,earning_base_fare_pct,traffic_benchmark,ted,bfd,cfd,pud,tei,bfi,cfi,pui,tedi,bfdi,cfdi,pudi,duration_min_float,origin_lat,origin_lng,cluster
0,UberX,2023-11-11,17:28:00,11 min 32 sec,4.15 km,"Rua Antônio das Chagas, Santo Amaro - São Paulo - SP, 04714-001, BR","R. Geórgia, Brooklin - São Paulo - SP, 04559-010, BR",15.01,11.01,19.97,15.01,4.96,2023-11-11 17:28:00,0 days 00:11:32,4.15,"[-23.6310457, -46.7009751]","[-23.6108945, -46.6774821]",24.83725588382574,75.16274411617427,55.13269904857287,2.7791164658634537,0.9663090128755364,0.7087982832618026,1.2856223175965664,0.31931330472103,3.6168674698795176,2.6530120481927706,4.812048192771083,1.195180722891566,0.3136012257120969,0.2300299463750957,0.4172296120899783,0.1036283863778814,11.533333333333333,-23.631046,-46.700975,-1
1,UberX,2023-11-11,16:37:00,27 min 43 sec,13.42 km,"Rua Helena, Itaim Bibi - São Paulo - SP, 04552-050, BR","Rua Quipa, Campo Limpo - São Paulo - SP, 05756-440, BR",27.09,27.09,34.95,27.09,7.86,2023-11-11 16:37:00,0 days 00:27:43,13.42,"[-23.5930876, -46.685821]","[-23.6232428, -46.757671]",22.489270386266096,77.5107296137339,77.5107296137339,2.065325384997516,0.8541250656857594,0.8541250656857594,1.1019442984760903,0.247819232790331,2.018628912071535,2.018628912071535,2.604321907600597,0.5856929955290612,0.072830868745816,0.072830868745816,0.0939623057462632,0.0211314370004471,27.716666666666665,-23.593088,-46.685821,0
2,UberX,2023-11-11,16:19:00,16 min 18 sec,4.78 km,"Alameda Gabriel Monteiro da Silva, Jardim America - São Paulo - SP, 01442-000, BR","Rua Helena, Itaim Bibi - São Paulo - SP, 04552-050, BR",13.78,13.78,22.96,13.78,9.18,2023-11-11 16:19:00,0 days 00:16:18,4.78,"[-23.5670517, -46.6779432]","[-23.5930876, -46.685821]",39.98257839721254,60.01742160278744,60.01742160278744,3.410041841004184,0.6788177339901478,0.6788177339901478,1.1310344827586207,0.4522167487684729,2.8828451882845187,2.8828451882845187,4.803347280334728,1.920502092050209,0.1768616679929152,0.1768616679929152,0.2946838822291244,0.1178222142362091,16.3,-23.567052,-46.677943,1
3,UberX,2023-11-11,15:57:00,5 min 29 sec,1.38 km,"R. Turiassu, Perdizes - São Paulo - SP, 05005-001, BR","Rua Ministro Godói, Perdizes - São Paulo - SP, 05015-001, BR",6.69,6.69,10.96,6.69,4.27,2023-11-11 15:57:00,0 days 00:05:29,1.38,"[-23.532765, -46.6705077]","[-23.5411086, -46.6745064]",38.95985401459853,61.04014598540146,61.04014598540146,3.9734299516908216,0.7054481546572935,0.7054481546572935,1.1557117750439367,0.4502636203866431,4.847826086956522,4.847826086956522,7.942028985507248,3.0942028985507246,0.8841020219373598,0.8841020219373598,1.448394343861504,0.5642923219241444,5.483333333333333,-23.532765,-46.670508,2
4,UberX,2023-11-11,15:01:00,2 min 54 sec,0.96 km,"Rua das Tabocas, Alto de Pinheiros - São Paulo - SP, 05445-020, BR","R. Delfina, Vila Madalena - São Paulo - SP, 05443-010, BR",6.11,6.11,9.98,6.11,3.87,2023-11-11 15:01:00,0 days 00:02:54,0.96,"[-23.5513208, -46.6977061]","[-23.5539406, -46.6942296]",38.77755511022044,61.22244488977956,61.22244488977956,3.020833333333333,0.8855072463768116,0.8855072463768116,1.4463768115942028,0.5608695652173913,6.364583333333334,6.364583333333334,10.395833333333334,4.03125,2.194683908045977,2.194683908045977,3.584770114942529,1.3900862068965518,2.9,-23.551321,-46.697706,3
5,UberX,2023-11-11,13:06:00,4 min 5 sec,0.80 km,"Terminal Butantã, São Paulo - SP, 05510-050, BR","Avenida Afrânio Peixoto, Butantã - São Paulo - SP, 05507-000, BR",9.52,6.52,10.9,9.52,1.38,2023-11-11 13:06:00,0 days 00:04:05,0.8,"[-23.5724349, -46.70984199999999]","[-23.5659941, -46.7107432]",12.660550458715594,87.3394495412844,59.81651376146788,5.104166666666666,1.1777319587628867,0.80659793814433,1.348453608247423,0.170721649484536,11.9,8.149999999999999,13.625,1.725,2.914285714285714,1.9959183673469387,3.3367346938775517,0.4224489795918367,4.083333333333333,-23.572435,-46.709842,4
6,UberX,2023-11-11,12:32:00,21 min 33 sec,5.28 km,"Rua Capital Federal, Perdizes - São Paulo - SP, 01259-010, BR","Av. Rebouças, Bairro Pinheiros - São Paulo - SP, 05402-600, BR",20.0,20.0,24.88,20.0,-1.34,2023-11-11 12:32:00,0 days 00:21:33,5.28,"[-23.5407904, -46.6851003]","[-23.5645767, -46.678679]",-5.385852090032155,80.38585209003216,80.38585209003216,4.081439393939394,0.7827788649706457,0.7827788649706457,0.9737769080234832,-0.0524461839530332,3.787878787878788,3.787878787878788,4.712121212121212,-0.2537878787878788,0.1757716374885748,0.1757716374885748,0.218659917035787,-0.0117766997117345,21.55,-23.54079,-46.6851,5
7,UberX,2023-11-11,12:28:00,3 min 59 sec,0.91 km,"R. Francisco Isoldi, Alto de Pinheiros - São Paulo - SP, 05441-040, BR","Rua Paulistânia, Sumarezinho - São Paulo - SP, 05440-000, BR",6.7,6.7,10.97,6.7,4.27,2023-11-11 12:28:00,0 days 00:03:59,0.91,"[-23.5465032, -46.6946018]","[-23.547372, -46.6915299]",38.92433910665451,61.075660893345486,61.075660893345486,4.377289377289377,0.8392484342379959,0.8392484342379959,1.3741127348643007,0.5348643006263047,7.362637362637362,7.362637362637362,12.054945054945057,4.692307692307692,1.848360844176744,1.848360844176744,3.0263460388983403,1.1779851947215962,3.9833333333333334,-23.546503,-46.694602,6
8,UberX,2023-11-11,12:18:00,1 min 54 sec,0.55 km,"Rua Judite, Alto de Pinheiros - São Paulo - SP, 05445-060, BR","Rua Gumercindo Fleury, Alto de Pinheiros - São Paulo - SP, 05447-100, BR",6.11,6.11,9.94,6.11,3.83,2023-11-11 12:18:00,0 days 00:01:54,0.55,"[-23.5519551, -46.6968434]","[-23.5484526, -46.6965608]",38.53118712273642,61.46881287726359,61.46881287726359,3.454545454545454,1.035593220338983,1.035593220338983,1.6847457627118645,0.6491525423728813,11.10909090909091,11.10909090909091,18.07272727272727,6.963636363636363,5.846889952153111,5.846889952153111,9.51196172248804,3.665071770334929,1.9,-23.551955,-46.696843,3
9,UberX,2023-11-11,12:10:00,4 min 0 sec,1.61 km,"Av. Arruda Botelho, Alto de Pinheiros - São Paulo - SP, 05466-000, BR","Pç. Panamericana, Alto de Pinheiros - São Paulo - SP, 05461-000, BR",6.89,6.89,10.99,6.89,4.1,2023-11-11 12:10:00,0 days 00:04:00,1.61,"[-23.5508975, -46.7178258]","[-23.5538417, -46.7088818]",37.3066424021838,62.69335759781619,62.69335759781619,2.484472049689441,0.86125,0.86125,1.37375,0.5125,4.279503105590062,4.279503105590062,6.826086956521739,2.5465838509316767,1.0698757763975155,1.0698757763975155,1.7065217391304348,0.6366459627329192,4.0,-23.550898,-46.717826,7
