cluster,origin_lat,origin_lng,ted,type
0,-23.59032628481013,-46.67660844620253,1.0740304396286595,316
1,-23.561578257425744,-46.682652448844884,1.080104943105038,303
3,-23.552778285714286,-46.69788757142857,1.2522811425574918,7
4,-23.570618,-46.7099704,1.1948294960067218,5
8,-23.56341827142857,-46.65778066190476,1.0606026819109773,420
14,-23.512271,-46.657296153846154,1.0638373848642932,13
17,-23.52918325,-46.7292955,1.0948061172043262,4
19,-23.573964176470586,-46.667485647058825,1.0639229023980072,17
20,-23.60743204761905,-46.6623449047619,1.0590477979107418,21
23,-23.50207890625,-46.640380046875,1.1060519855895372,64
27,-23.492345701492535,-46.63540505970149,1.1599023576285055,67
28,-23.553434111111113,-46.63970088888889,1.0777924082272152,9
31,-23.593718999999997,-46.69501499999999,1.151843447311448,3
35,-23.5159114,-46.6206802,1.2616357751345708,5
36,-23.611795,-46.666869,1.0907027326808174,3
39,-23.612230666666665,-46.65884533333334,1.1661695635879126,3
40,-23.585314285714286,-46.605594571428576,1.0667635099677046,7
42,-23.523071685714285,-46.65705982857143,1.1180643091426838,35
44,-23.626713166666665,-46.65974933333334,1.2721001229965332,6
47,-23.54578325,-46.668479000000005,1.28897267312674,4
48,-23.639391,-46.64126,1.0818344242560918,5
50,-23.52849,-46.687934,1.059192506480105,5
51,-23.5059405,-46.6541045,1.0939063096219177,4
52,-23.510576125,-46.661413375,1.094838978958373,8
53,-23.519221333333334,-46.675266666666666,1.100421420216794,3
54,-23.620107444444443,-46.67626644444445,1.1684298643562818,9
61,-23.59673,-46.715846,1.1862727828223536,4
62,-23.589973666666666,-46.71793866666667,1.1153209695786561,3
64,-23.568475222222222,-46.671206444444444,1.078628398656927,9
66,-23.613457333333333,-46.66365733333333,1.1648288259035533,3
67,-23.587710666666666,-46.62686766666667,1.3433264062427295,3
68,-23.60143525,-46.61231625,1.0636258271415646,4
69,-23.587257599999997,-46.6446801,1.1451719852169484,10
72,-23.53712675,-46.695336250000004,1.1361589138606587,4
74,-23.587244666666667,-46.68237022222222,1.092249160094189,18
75,-23.55639766666667,-46.69509166666666,1.1346875063104542,3
77,-23.4899005,-46.61136725,1.117779664894732,4
79,-23.5640679,-46.6434203,1.1151918783470918,10
80,-23.542500166666667,-46.63043166666666,1.172930546866983,6
81,-23.511242,-46.6535,1.0985782815252416,7
87,-23.519968,-46.61142,1.1074254345673513,5
91,-23.556503624999998,-46.634247875,1.0796057848989653,8
92,-23.589516,-46.6342245,1.1898589823156889,4
93,-23.59154977777778,-46.68908466666667,1.1261730886314019,9
97,-23.519827666666668,-46.68109366666666,1.1687813142388668,3
98,-23.539773166666667,-46.6328655,1.0673080737224214,6
100,-23.60468375,-46.693251499999995,1.1654869641351138,8
104,-23.481049499999997,-46.633128,1.2119754906288418,4
105,-23.595509333333336,-46.630607499999996,1.121985793799233,6
106,-23.541917833333333,-46.635742,1.2689342874353866,6
107,-23.571132000000002,-46.636621,1.0971306669762582,3
108,-23.5977344,-46.697330199999996,1.346684840235415,5
109,-23.57995092307692,-46.690809076923074,1.2490277998960428,13
110,-23.577588333333335,-46.63464366666667,1.2015946562343691,3
113,-23.6064054,-46.6758526,1.1729372056230822,5
115,-23.6101185,-46.69411835714286,1.1128392651517478,14
117,-23.57720425,-46.65057875,1.0741461679545792,4
119,-23.6074848,-46.6884144,1.2840394592813287,5
120,-23.55104042857143,-46.63525285714286,1.2540627739969328,7
122,-23.625862666666666,-46.69041266666667,1.0617492530432784,9
123,-23.559103200000003,-46.6373672,1.0691853909384423,5
124,-23.58680775,-46.63202825,1.1129938099430858,4
125,-23.58325990909091,-46.687653909090905,1.1205532977599568,22
128,-23.490489,-46.653434,1.2302798632356933,3
129,-23.540353,-46.7067658,1.1764362186564181,5
130,-23.556488,-46.670422,1.0726181622057864,4
131,-23.603339666666667,-46.71405266666667,1.1487993590192562,3
133,-23.513538,-46.609433,1.0636066664697292,6
134,-23.611507,-46.70666466666666,1.0955367573116321,3
136,-23.582331666666665,-46.633950666666664,1.1083573199010885,3
137,-23.5176735,-46.6173005,1.0600130124494014,4
138,-23.52965066666667,-46.64052733333333,1.1832939250510532,3
146,-23.515365222222222,-46.642463333333325,1.292696472833879,9
147,-23.538758,-46.679756,1.095901387640703,3
149,-23.571456333333334,-46.68174200000001,1.2346960507197295,3
150,-23.492005375,-46.6271261875,1.1878438439018268,16
154,-23.578925,-46.65903375,1.20531898001619,4
156,-23.621930333333335,-46.640284333333334,1.252088085212409,3
157,-23.511003,-46.620834,1.1691013385127682,3
158,-23.426255,-46.481662,1.1571296236966577,4
161,-23.517587,-46.638934,1.4136845980901778,4
164,-23.601294,-46.60289284615385,1.071511656770422,13
165,-23.709072333333335,-46.54411033333333,1.07391442855021,3
166,-23.482598333333332,-46.644519333333335,1.0955782675273946,3
167,-23.569971,-46.612263000000006,1.1080221278971651,3
168,-23.711958666666664,-46.54680833333333,1.100938758453185,3
