,dest_cluster,ted,dest_ride_count,dest_lat,dest_lng
0,0,0.9780801850890359,24,-23.548531999999998,-46.69220016666667
1,1,1.011836656758376,82,-23.554614792682926,-46.66022357317073
2,2,0.9664294796091845,24,-23.543386416666667,-46.658034750000006
3,3,0.8516450253839922,12,-23.523371166666667,-46.66772175
4,4,1.0390411742461074,21,-23.56485795238095,-46.67891280952381
5,5,1.0226788734076444,27,-23.555861703703705,-46.68901648148148
6,6,1.0015569182912256,243,-23.587915098765432,-46.680320576131685
7,7,1.0958404659859107,60,-23.625640983333334,-46.65853825
8,8,0.9617628853799082,81,-23.563090185185185,-46.65332355555555
9,9,1.0198114526321054,27,-23.541474666666666,-46.65240711111111
10,10,0.979401982797023,17,-23.509886,-46.625072
11,11,0.9919678249057091,124,-23.56352943548387,-46.664860798387096
12,12,1.0433778665001887,14,-23.51362657142857,-46.62575571428572
13,13,0.9628943935021766,27,-23.557429,-46.676939
14,14,0.9720993518761106,26,-23.55675761538462,-46.67042411538462
15,15,0.9089805901112485,17,-23.527386705882353,-46.667073411764704
16,16,0.966096865249456,16,-23.5535854375,-46.651459625
17,17,1.0847436230933292,15,-23.6012894,-46.6661368
18,18,1.0175301585984797,48,-23.5708591875,-46.6445941875
19,19,0.9381749226773649,23,-23.572183130434784,-46.65685913043479
20,20,1.1022566609742204,13,-23.562230769230766,-46.69331592307692
21,21,0.9553992123707817,16,-23.5368454375,-46.6697055
22,22,0.9144295176275585,17,-23.566249647058825,-46.68589529411764
23,23,1.1018731896961673,32,-23.5710873125,-46.69043690625
24,24,0.9897300161841012,13,-23.57822646153846,-46.670979461538465
25,25,0.9332754005484015,13,-23.59123676923077,-46.68933669230769
26,26,1.0525721630207827,18,-23.582473611111112,-46.68735761111111
27,27,0.940991552629816,15,-23.536594733333335,-46.65543806666667
28,28,1.0356975883835011,10,-23.5889211,-46.672951499999996
29,29,0.9402493836666558,12,-23.563211499999998,-46.68960808333333
30,30,0.9104829291087195,16,-23.5011595625,-46.62549125
31,31,1.027561045260985,15,-23.599089133333333,-46.676295333333336
32,32,0.9994039589216435,9,-23.562800555555555,-46.68306922222222
