,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
1,UberX,2023-11-11,17:20:00,0 sec,---,"Rua Luís Correia de Melo, Santo Amaro - São Paulo - SP, 04726-200, BR","Rua Luís Correia de Melo, Santo Amaro - São Paulo - SP, 04726-200, BR",4.22,4.22,5.25,4.22,1.03,2023-11-11 17:20:00,0 days,0.0,"[-23.6333821, -46.7150474]","[-23.6333821, -46.7150474]"
34,UberX,2023-11-09,16:08:00,0 sec,---,"Rua Berlioz, Alto de Pinheiros - São Paulo - SP, 05467-000, BR","Rua Berlioz, Alto de Pinheiros - São Paulo - SP, 05467-000, BR",4.22,4.22,5.25,4.22,1.03,2023-11-09 16:08:00,0 days,0.0,"[-23.5426204, -46.7142529]","[-23.5426204, -46.7142529]"
55,UberX,2023-11-07,13:16:00,0 sec,---,"Rua Vale Verde, Cachoeirinha - São Paulo - SP, 02473-060, BR","Rua Vale Verde, Cachoeirinha - São Paulo - SP, 02473-060, BR",4.22,4.22,5.25,4.22,1.03,2023-11-07 13:16:00,0 days,0.0,"[-23.4772701, -46.6511585]","[-23.4772701, -46.6511585]"
64,UberX,2023-11-19,22:59:00,0 sec,---,"Avenida Sabiá, Moema - Sao Paulo - SP, 04515-001, BR","Avenida Sabiá, Moema - Sao Paulo - SP, 04515-001, BR",4.22,4.22,5.25,4.22,1.03,2023-11-19 22:59:00,0 days,0.0,"[-23.6004324, -46.6654618]","[-23.6004324, -46.6654618]"
78,Comfort,2023-11-18,23:35:00,0 sec,---,"Rua Casa do Ator, Itaim Bibi - São Paulo - SP, 04546-003, BR","Rua Casa do Ator, Itaim Bibi - São Paulo - SP, 04546-003, BR",4.64,4.64,6.3,4.64,1.66,2023-11-18 23:35:00,0 days,0.0,"[-23.5983317, -46.6801365]","[-23.5983317, -46.6801365]"
171,UberX,2023-11-25,16:00:00,0 sec,---,"Rua Pablo Picasso, Barra Funda - São Paulo - SP, 01139-040, BR","Rua Pablo Picasso, Barra Funda - São Paulo - SP, 01139-040, BR",4.22,4.22,5.25,4.22,1.03,2023-11-25 16:00:00,0 days,0.0,"[-23.5193059, -46.6832625]","[-23.5193059, -46.6832625]"
190,UberX,2023-11-24,20:29:00,0 sec,---,"Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR","Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR",4.22,4.22,5.25,4.22,1.03,2023-11-24 20:29:00,0 days,0.0,"[-23.6265204, -46.6732251]","[-23.6265204, -46.6732251]"
191,Comfort,2023-11-24,20:19:00,0 sec,---,"Rua João de Sousa Dias, Campo Belo - São Paulo - SP, 04618-908, BR","Rua João de Sousa Dias, Campo Belo - São Paulo - SP, 04618-908, BR",4.64,4.64,6.3,4.64,1.66,2023-11-24 20:19:00,0 days,0.0,"[-23.6224802, -46.6731147]","[-23.6224802, -46.6731147]"
195,Flash,2023-11-24,14:57:00,0 sec,---,"Av. Magalhães de Castro, Morumbi - São Paulo - SP, 05676-120, BR","Av. Magalhães de Castro, Morumbi - São Paulo - SP, 05676-120, BR",5.06,5.06,6.0,5.06,0.94,2023-11-24 14:57:00,0 days,0.0,"[-23.597441, -46.697262]","[-23.597441, -46.697262]"
275,Comfort,2023-12-01,18:45:00,0 sec,---,"Rua Dionísio da Costa, Vila Mariana - Sao Paulo - SP, 04117-110, BR","Rua Dionísio da Costa, Vila Mariana - Sao Paulo - SP, 04117-110, BR",4.64,4.64,6.3,4.64,1.66,2023-12-01 18:45:00,0 days,0.0,"[-23.5896808, -46.6258452]","[-23.5896808, -46.6258452]"
