,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng,fee,earning_pct,earning_base_fare_pct,traffic_benchmark,ted,bfd,cfd,pud,tei,bfi,cfi,pui,tedi,bfdi,cfdi,pudi
0,UberX,2023-11-11,17:28:00,11 min 32 sec,4.15 km,"Rua Antônio das Chagas, Santo Amaro - São Paulo - SP, 04714-001, BR","R. Geórgia, Brooklin - São Paulo - SP, 04559-010, BR",15.01,11.01,19.97,15.01,4.96,2023-11-11 17:28:00,0 days 00:11:32,4.15,"[-23.6310457, -46.7009751]","[-23.6108945, -46.6774821]",24.83725588382574,75.16274411617427,55.13269904857287,2.7791164658634537,1.3014450867052023,0.9546242774566474,1.7315028901734104,0.4300578034682081,3.6168674698795176,2.6530120481927706,4.812048192771083,1.195180722891566,0.3136012257120969,0.23002994637509575,0.41722961208997833,0.10362838637788147
2,UberX,2023-11-11,16:37:00,27 min 43 sec,13.42 km,"Rua Helena, Itaim Bibi - São Paulo - SP, 04552-050, BR","Rua Quipa, Campo Limpo - São Paulo - SP, 05756-440, BR",27.09,27.09,34.95,27.09,7.86,2023-11-11 16:37:00,0 days 00:27:43,13.42,"[-23.5930876, -46.685821]","[-23.6232428, -46.757671]",22.489270386266096,77.5107296137339,77.5107296137339,2.065325384997516,0.9773902585688515,0.9773902585688515,1.260974143114853,0.28358388454600125,2.018628912071535,2.018628912071535,2.6043219076005966,0.5856929955290612,0.07283086874581607,0.07283086874581607,0.09396230574626326,0.021131437000447187
3,UberX,2023-11-11,16:19:00,16 min 18 sec,4.78 km,"Alameda Gabriel Monteiro da Silva, Jardim America - São Paulo - SP, 01442-000, BR","Rua Helena, Itaim Bibi - São Paulo - SP, 04552-050, BR",13.78,13.78,22.96,13.78,9.18,2023-11-11 16:19:00,0 days 00:16:18,4.78,"[-23.5670517, -46.6779432]","[-23.5930876, -46.685821]",39.98257839721254,60.017421602787444,60.017421602787444,3.410041841004184,0.8453987730061349,0.8453987730061349,1.4085889570552148,0.5631901840490797,2.8828451882845187,2.8828451882845187,4.803347280334728,1.920502092050209,0.17686166799291525,0.17686166799291525,0.29468388222912445,0.11782221423620914
4,UberX,2023-11-11,15:57:00,5 min 29 sec,1.38 km,"R. Turiassu, Perdizes - São Paulo - SP, 05005-001, BR","Rua Ministro Godói, Perdizes - São Paulo - SP, 05015-001, BR",6.69,6.69,10.96,6.69,4.27,2023-11-11 15:57:00,0 days 00:05:29,1.38,"[-23.532765, -46.6705077]","[-23.5411086, -46.6745064]",38.959854014598534,61.04014598540146,61.04014598540146,3.9734299516908216,1.2200607902735563,1.2200607902735563,1.9987841945288756,0.778723404255319,4.847826086956522,4.847826086956522,7.942028985507248,3.0942028985507246,0.8841020219373598,0.8841020219373598,1.4483943438615041,0.5642923219241444
5,UberX,2023-11-11,15:01:00,2 min 54 sec,0.96 km,"Rua das Tabocas, Alto de Pinheiros - São Paulo - SP, 05445-020, BR","R. Delfina, Vila Madalena - São Paulo - SP, 05443-010, BR",6.11,6.11,9.98,6.11,3.87,2023-11-11 15:01:00,0 days 00:02:54,0.96,"[-23.5513208, -46.6977061]","[-23.5539406, -46.6942296]",38.77755511022044,61.22244488977956,61.22244488977956,3.0208333333333335,2.1068965517241383,2.1068965517241383,3.441379310344828,1.3344827586206898,6.364583333333334,6.364583333333334,10.395833333333334,4.03125,2.1946839080459775,2.1946839080459775,3.584770114942529,1.3900862068965518
6,UberX,2023-11-11,13:06:00,4 min 5 sec,0.80 km,"Terminal Butantã, São Paulo - SP, 05510-050, BR","Avenida Afrânio Peixoto, Butantã - São Paulo - SP, 05507-000, BR",9.52,6.52,10.9,9.52,1.38,2023-11-11 13:06:00,0 days 00:04:05,0.8,"[-23.5724349, -46.70984199999999]","[-23.5659941, -46.7107432]",12.660550458715594,87.3394495412844,59.81651376146788,5.104166666666666,2.3314285714285714,1.596734693877551,2.6693877551020413,0.3379591836734694,11.899999999999999,8.149999999999999,13.625,1.7249999999999999,2.914285714285714,1.9959183673469387,3.3367346938775513,0.4224489795918367
7,UberX,2023-11-11,12:32:00,21 min 33 sec,5.28 km,"Rua Capital Federal, Perdizes - São Paulo - SP, 01259-010, BR","Av. Rebouças, Bairro Pinheiros - São Paulo - SP, 05402-600, BR",20.0,20.0,24.88,20.0,-1.34,2023-11-11 12:32:00,0 days 00:21:33,5.28,"[-23.5407904, -46.6851003]","[-23.5645767, -46.678679]",-5.385852090032155,80.38585209003216,80.38585209003216,4.081439393939394,0.9280742459396751,0.9280742459396751,1.1545243619489558,-0.062180974477958235,3.7878787878787876,3.7878787878787876,4.712121212121212,-0.2537878787878788,0.17577163748857483,0.17577163748857483,0.21865991703578708,-0.011776699711734515
8,UberX,2023-11-11,12:28:00,3 min 59 sec,0.91 km,"R. Francisco Isoldi, Alto de Pinheiros - São Paulo - SP, 05441-040, BR","Rua Paulistânia, Sumarezinho - São Paulo - SP, 05440-000, BR",6.7,6.7,10.97,6.7,4.27,2023-11-11 12:28:00,0 days 00:03:59,0.91,"[-23.5465032, -46.6946018]","[-23.547372, -46.6915299]",38.92433910665451,61.075660893345486,61.075660893345486,4.377289377289377,1.6820083682008369,1.6820083682008369,2.75397489539749,1.0719665271966525,7.362637362637362,7.362637362637362,12.054945054945055,4.692307692307692,1.8483608441767436,1.8483608441767436,3.0263460388983403,1.1779851947215962
9,UberX,2023-11-11,12:18:00,1 min 54 sec,0.55 km,"Rua Judite, Alto de Pinheiros - São Paulo - SP, 05445-060, BR","Rua Gumercindo Fleury, Alto de Pinheiros - São Paulo - SP, 05447-100, BR",6.11,6.11,9.94,6.11,3.83,2023-11-11 12:18:00,0 days 00:01:54,0.55,"[-23.5519551, -46.6968434]","[-23.5484526, -46.6965608]",38.53118712273642,61.46881287726359,61.46881287726359,3.454545454545454,3.215789473684211,3.215789473684211,5.231578947368421,2.015789473684211,11.10909090909091,11.10909090909091,18.07272727272727,6.963636363636363,5.846889952153111,5.846889952153111,9.511961722488039,3.6650717703349285
10,UberX,2023-11-11,12:10:00,4 min 0 sec,1.61 km,"Av. Arruda Botelho, Alto de Pinheiros - São Paulo - SP, 05466-000, BR","Pç. Panamericana, Alto de Pinheiros - São Paulo - SP, 05461-000, BR",6.89,6.89,10.99,6.89,4.1,2023-11-11 12:10:00,0 days 00:04:00,1.61,"[-23.5508975, -46.7178258]","[-23.5538417, -46.7088818]",37.3066424021838,62.69335759781619,62.69335759781619,2.484472049689441,1.7225,1.7225,2.7475,1.025,4.279503105590062,4.279503105590062,6.826086956521739,2.5465838509316767,1.0698757763975155,1.0698757763975155,1.7065217391304348,0.6366459627329192
