,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
0,UberX,2023-11-11,17:28:00,11 min 32 sec,4.15 km,"Rua Antônio das Chagas, Santo Amaro - São Paulo - SP, 04714-001, BR","R. Geórgia, Brooklin - São Paulo - SP, 04559-010, BR",15.01,11.01,19.97,-15.01,4.96,2023-11-11 17:28:00,0 days 00:11:32,4.15,"[-23.6310457, -46.7009751]","[-23.6108945, -46.6774821]"
1,UberX,2023-11-11,17:20:00,0 sec,---,"Rua Luís Correia de Melo, Santo Amaro - São Paulo - SP, 04726-200, BR","Rua Luís Correia de Melo, Santo Amaro - São Paulo - SP, 04726-200, BR",4.22,4.22,5.25,-4.22,1.03,2023-11-11 17:20:00,0 days 00:00:00,0.0,"[-23.6333821, -46.7150474]","[-23.6333821, -46.7150474]"
2,UberX,2023-11-11,16:37:00,27 min 43 sec,13.42 km,"Rua Helena, Itaim Bibi - São Paulo - SP, 04552-050, BR","Rua Quipa, Campo Limpo - São Paulo - SP, 05756-440, BR",27.09,27.09,34.95,-27.09,7.86,2023-11-11 16:37:00,0 days 00:27:43,13.42,"[-23.5930876, -46.685821]","[-23.6232428, -46.757671]"
3,UberX,2023-11-11,16:19:00,16 min 18 sec,4.78 km,"Alameda Gabriel Monteiro da Silva, Jardim America - São Paulo - SP, 01442-000, BR","Rua Helena, Itaim Bibi - São Paulo - SP, 04552-050, BR",13.78,13.78,22.96,-13.78,9.18,2023-11-11 16:19:00,0 days 00:16:18,4.78,"[-23.5670517, -46.6779432]","[-23.5930876, -46.685821]"
4,UberX,2023-11-11,15:57:00,5 min 29 sec,1.38 km,"R. Turiassu, Perdizes - São Paulo - SP, 05005-001, BR","Rua Ministro Godói, Perdizes - São Paulo - SP, 05015-001, BR",6.69,6.69,10.96,-6.69,4.27,2023-11-11 15:57:00,0 days 00:05:29,1.38,"[-23.532765, -46.6705077]","[-23.5411086, -46.6745064]"
5,UberX,2023-11-11,15:01:00,2 min 54 sec,0.96 km,"Rua das Tabocas, Alto de Pinheiros - São Paulo - SP, 05445-020, BR","R. Delfina, Vila Madalena - São Paulo - SP, 05443-010, BR",6.11,6.11,9.98,-6.11,3.87,2023-11-11 15:01:00,0 days 00:02:54,0.96,"[-23.5513208, -46.6977061]","[-23.5539406, -46.6942296]"
6,UberX,2023-11-11,13:06:00,4 min 5 sec,0.80 km,"Terminal Butantã, São Paulo - SP, 05510-050, BR","Avenida Afrânio Peixoto, Butantã - São Paulo - SP, 05507-000, BR",9.52,6.52,10.9,-9.52,1.38,2023-11-11 13:06:00,0 days 00:04:05,0.8,"[-23.5724349, -46.70984199999999]","[-23.5659941, -46.7107432]"
7,UberX,2023-11-11,12:32:00,21 min 33 sec,5.28 km,"Rua Capital Federal, Perdizes - São Paulo - SP, 01259-010, BR","Av. Rebouças, Bairro Pinheiros - São Paulo - SP, 05402-600, BR",20.0,20.0,24.88,-20.0,-1.34,2023-11-11 12:32:00,0 days 00:21:33,5.28,"[-23.5407904, -46.6851003]","[-23.5645767, -46.678679]"
8,UberX,2023-11-11,12:28:00,3 min 59 sec,0.91 km,"R. Francisco Isoldi, Alto de Pinheiros - São Paulo - SP, 05441-040, BR","Rua Paulistânia, Sumarezinho - São Paulo - SP, 05440-000, BR",6.7,6.7,10.97,-6.7,4.27,2023-11-11 12:28:00,0 days 00:03:59,0.91,"[-23.5465032, -46.6946018]","[-23.547372, -46.6915299]"
9,UberX,2023-11-11,12:18:00,1 min 54 sec,0.55 km,"Rua Judite, Alto de Pinheiros - São Paulo - SP, 05445-060, BR","Rua Gumercindo Fleury, Alto de Pinheiros - São Paulo - SP, 05447-100, BR",6.11,6.11,9.94,-6.11,3.83,2023-11-11 12:18:00,0 days 00:01:54,0.55,"[-23.5519551, -46.6968434]","[-23.5484526, -46.6965608]"
10,UberX,2023-11-11,12:10:00,4 min 0 sec,1.61 km,"Av. Arruda Botelho, Alto de Pinheiros - São Paulo - SP, 05466-000, BR","Pç. Panamericana, Alto de Pinheiros - São Paulo - SP, 05461-000, BR",6.89,6.89,10.99,-6.89,4.1,2023-11-11 12:10:00,0 days 00:04:00,1.61,"[-23.5508975, -46.7178258]","[-23.5538417, -46.7088818]"
11,UberX,2023-11-11,11:55:00,6 min 29 sec,2.27 km,"Rua Jorge Americano, Lapa - São Paulo - SP, 05083-130, BR","Praça Pero Vaz de Caminha, Alto de Pinheiros - São Paulo - SP, 05452-070, BR",7.16,7.16,11.94,-7.16,4.78,2023-11-11 11:55:00,0 days 00:06:29,2.27,"[-23.5332123, -46.7164275]","[-23.5510601, -46.712042]"
